,category,timestamp,value_date,logging_payment_timestamp,payment_timestamp,account_number,amount_payment,balance_account,entry_type,payment_type,BIC,reference_code_paymetn,IBAN,counterparty_account_id
20,Luottojen_maksut,2019-01-11 20:24:40.373831773,2019-01-11,2019-01-11,2019-01-11,1.0,-105.08,-28.06,706.0,129.0,OKOYFIHH   ,0.0,0.0,205.0
21,Ruoka_paivittaistavarakauppa,2019-01-14 04:02:14.579439249,2019-01-14,2019-01-14,2019-01-14,1.0,-6.04,-34.1,0.0,162.0,           ,1.0,1.0,117.0
22,Saastot_sijoitukset,2019-01-14 07:51:01.682242987,2019-01-14,2019-01-14,2019-01-14,1.0,-15.84,-49.94,0.0,162.0,           ,1.0,1.0,33.0
23,Ravintolat_kahvilat,2019-01-14 17:56:38.130841118,2019-01-14,2019-01-15,2019-01-14,1.0,-1.08,-51.02,0.0,162.0,           ,1.0,1.0,65.0
24,Vakuutukset,2019-01-14 21:45:25.233644856,2019-01-14,2019-01-14,2019-01-14,1.0,-69.5,-120.52,706.0,129.0,OKOYFIHH   ,0.0,0.0,201.0
25,Luokittelemattomat,2019-01-15 11:39:48.785046725,2019-01-15,2019-01-15,2019-01-15,1.0,-12.83,-133.35,706.0,129.0,OKOYFIHH   ,0.0,0.0,201.0
26,Ruoka_paivittaistavarakauppa,2019-01-15 19:17:22.990654201,2019-01-15,2019-01-15,2019-01-15,1.0,-3.8,-137.15,0.0,162.0,           ,1.0,1.0,90.0
27,Matkailu,2019-01-16 01:34:12.336448594,2019-01-16,2019-01-16,2019-01-16,1.0,-7.57,-144.72,706.0,129.0,NDEAFIHH   ,0.0,0.0,200.0
28,Ravintolat_kahvilat,2019-01-16 15:28:35.887850463,2019-01-16,2019-01-16,2019-01-16,1.0,-17.69,-162.41,0.0,162.0,           ,1.0,1.0,91.0
29,Ruoka_paivittaistavarakauppa,2019-01-17 13:00:33.644859808,2019-01-17,2019-01-17,2019-01-17,1.0,-4.63,-167.04,0.0,162.0,           ,1.0,1.0,107.0
30,Tulot,2019-01-18 05:22:59.439252332,2019-01-18,2019-01-18,2019-01-18,1.0,84.27,-82.77,710.0,588.0,           ,0.0,1.0,225.0
31,Ravintolat_kahvilat,2019-01-18 09:11:46.542056070,2019-01-18,2019-01-18,2019-01-21,1.0,-22.55,-105.32,0.0,162.0,           ,1.0,1.0,68.0
32,Muut,2019-01-18 23:06:10.093457939,2019-01-18,2019-01-18,2019-01-18,1.0,-17.52,-122.84,0.0,162.0,           ,1.0,1.0,86.0
33,Ruoka_paivittaistavarakauppa,2019-01-21 06:43:44.299065415,2019-01-21,2019-01-21,2019-01-21,1.0,-3.0,-125.84,0.0,162.0,           ,1.0,1.0,85.0
34,Terveys,2019-01-21 14:21:18.504672891,2019-01-21,2019-01-22,2019-01-21,1.0,0.82,-125.02,710.0,588.0,           ,0.0,1.0,221.0
35,Ruoka_paivittaistavarakauppa,2019-01-21 16:49:20.747663546,2019-01-21,2019-01-21,2019-01-21,1.0,-11.08,-136.1,0.0,162.0,           ,1.0,1.0,122.0
36,Liikkuminen,2019-01-21 20:38:07.850467284,2019-01-21,2019-01-21,2019-01-21,1.0,-2.02,-138.12,0.0,162.0,           ,1.0,1.0,33.0
37,Matkailu,2019-01-22 00:26:54.953271022,2019-01-22,2019-01-24,2019-01-22,1.0,-9.84,-147.96,0.0,163.0,           ,1.0,1.0,167.0
38,Ruoka_paivittaistavarakauppa,2019-01-22 02:54:57.196261677,2019-01-22,2019-01-22,2019-01-22,1.0,-7.4,-155.36,0.0,162.0,           ,1.0,1.0,94.0
39,Luokittelemattomat,2019-01-22 10:32:31.401869153,2019-01-22,2019-01-22,2019-01-22,1.0,-122.42,-277.78,0.0,106.0,OKOYFIHH   ,1.0,0.0,29.0
40,Harrastukset,2019-01-24 04:15:42.056074760,2019-01-24,2019-01-24,2019-01-24,1.0,-16.86,-294.64,0.0,106.0,OKOYFIHH   ,0.0,0.0,19.0
41,Ruoka_paivittaistavarakauppa,2019-01-24 08:04:29.158878498,2019-01-24,2019-01-24,2019-01-24,1.0,-2.34,-296.98,0.0,162.0,           ,1.0,1.0,116.0
42,Ravintolat_kahvilat,2019-01-24 21:58:52.710280367,2019-01-24,2019-01-24,2019-01-24,1.0,-2.24,-299.22,0.0,162.0,           ,1.0,1.0,117.0
43,Ravintolat_kahvilat,2019-01-25 18:10:05.607476629,2019-01-25,2019-01-25,2019-01-25,1.0,-0.93,-300.15,0.0,162.0,           ,1.0,1.0,121.0
44,Tulot,2019-01-26 15:42:03.364485974,2019-01-26,2019-01-26,2019-01-26,1.0,227.27,-72.88,0.0,506.0,           ,1.0,1.0,177.0
45,Kulttuuri_viihde,2019-01-28 01:47:39.813084105,2019-01-28,2019-01-28,2019-01-28,1.0,-2.83,-75.71,0.0,162.0,           ,1.0,1.0,128.0
46,Ruoka_paivittaistavarakauppa,2019-01-28 05:36:26.915887843,2019-01-28,2019-01-28,2019-01-28,1.0,-1.62,-77.33,0.0,162.0,           ,1.0,1.0,80.0
47,Ruoka_paivittaistavarakauppa,2019-01-28 11:53:16.261682236,2019-01-28,2019-01-30,2019-01-28,1.0,-1.63,-78.96,0.0,162.0,           ,1.0,1.0,84.0
48,Matkailu,2019-01-28 19:30:50.467289712,2019-01-28,2019-01-28,2019-01-28,1.0,-0.45,-79.41,0.0,162.0,           ,1.0,1.0,114.0
49,Vakuutukset,2019-01-28 23:19:37.570093450,2019-01-28,2019-01-28,2019-01-28,1.0,-429.43,-508.84,706.0,106.0,OKOYFIHH   ,0.0,0.0,193.0
50,Hyvinvointijakauneus,2019-01-30 09:25:14.018691581,2019-01-30,2019-01-30,2019-01-30,1.0,-21.03,-529.87,706.0,106.0,NDEAFIHH   ,0.0,0.0,189.0
51,Tulot,2019-01-30 13:14:01.121495319,2019-01-30,2019-01-30,2019-01-30,1.0,29.71,-500.16,710.0,588.0,           ,0.0,1.0,221.0
52,Liikkuminen,2019-01-31 03:08:24.672897188,2019-01-31,2019-01-31,2019-01-31,1.0,-8.27,-508.43,706.0,129.0,OKOYFIHH   ,0.0,0.0,198.0
53,Lemmikit,2019-01-31 17:02:48.224299057,2019-01-31,2019-01-31,2019-01-31,1.0,-10.51,-518.94,0.0,162.0,           ,1.0,1.0,80.0
54,Tulot,2019-02-04 10:17:08.571428571,2019-02-04,2019-02-04,2019-02-04,1.0,180.73,-338.21,710.0,588.0,           ,0.0,1.0,221.0
55,Muut,2019-02-05 03:25:42.857142857,2019-02-05,2019-02-05,2019-02-05,1.0,-0.26,-338.47,0.0,162.0,           ,1.0,1.0,158.0
56,Ruoka_paivittaistavarakauppa,2019-02-05 06:51:25.714285714,2019-02-05,2019-02-05,2019-02-05,1.0,-5.8,-344.27,0.0,162.0,           ,1.0,1.0,101.0
57,Ruoka_paivittaistavarakauppa,2019-02-05 13:42:51.428571428,2019-02-05,2019-02-05,2019-02-05,1.0,-8.14,-352.41,0.0,162.0,           ,1.0,1.0,35.0
58,Ravintolat_kahvilat,2019-02-05 17:08:34.285714285,2019-02-05,2019-02-06,2019-02-05,1.0,-0.47,-352.88,0.0,162.0,           ,1.0,1.0,105.0
59,Ruoka_paivittaistavarakauppa,2019-02-07 20:34:17.142857142,2019-02-07,2019-02-08,2019-02-07,1.0,-3.84,-356.72,0.0,162.0,           ,1.0,1.0,87.0
60,Luottojen_maksut,2019-02-07 23:59:59.999999999,2019-02-07,2019-02-07,2019-02-07,1.0,-8.17,-364.89,0.0,106.0,OKOYFIHH   ,0.0,0.0,24.0
61,Kulttuuri_viihde,2019-02-08 03:25:42.857142856,2019-02-08,2019-02-08,2019-02-08,1.0,-4.46,-369.35,0.0,162.0,           ,1.0,1.0,79.0
62,Luokittelemattomat,2019-02-12 10:17:08.571428570,2019-02-12,2019-02-12,2019-02-12,1.0,-38.82,-408.17,706.0,106.0,NDEAFIHH   ,1.0,0.0,193.0
63,Ruoka_paivittaistavarakauppa,2019-02-12 13:42:51.428571427,2019-02-12,2019-02-12,2019-02-12,1.0,-3.79,-411.96,0.0,162.0,           ,1.0,1.0,110.0
64,Muut,2019-02-13 06:51:25.714285713,2019-02-13,2019-02-13,2019-02-13,1.0,-77.9,-489.86,0.0,163.0,           ,1.0,1.0,167.0
65,Ruoka_paivittaistavarakauppa,2019-02-14 17:08:34.285714284,2019-02-14,2019-02-14,2019-02-14,1.0,-7.07,-496.93,0.0,162.0,           ,1.0,1.0,39.0
66,Tulot,2019-02-14 23:59:59.999999998,2019-02-14,2019-02-14,2019-02-14,1.0,141.17,-355.76,710.0,588.0,           ,0.0,1.0,223.0
67,Luottojen_maksut,2019-02-15 20:34:17.142857141,2019-02-15,2019-02-15,2019-02-15,1.0,-23.33,-379.09,706.0,129.0,NDEAFIHH   ,0.0,0.0,200.0
68,Luokittelemattomat,2019-02-18 03:25:42.857142855,2019-02-18,2019-02-18,2019-02-18,1.0,-6.41,-385.5,0.0,162.0,           ,1.0,1.0,85.0
69,Ruoka_paivittaistavarakauppa,2019-02-19 06:51:25.714285712,2019-02-19,2019-02-19,2019-02-19,1.0,-4.93,-390.43,0.0,162.0,           ,1.0,1.0,119.0
70,Hyvinvointijakauneus,2019-02-21 10:17:08.571428569,2019-02-21,2019-02-21,2019-02-21,1.0,-18.73,-409.16,0.0,162.0,           ,1.0,1.0,124.0
71,Ruoka_paivittaistavarakauppa,2019-02-21 17:08:34.285714283,2019-02-21,2019-02-21,2019-02-21,1.0,-11.31,-420.47,0.0,162.0,           ,1.0,1.0,94.0
72,Ruoka_paivittaistavarakauppa,2019-02-22 13:42:51.428571426,2019-02-22,2019-02-22,2019-02-22,1.0,-3.03,-423.5,0.0,162.0,           ,1.0,1.0,158.0
73,Ruoka_paivittaistavarakauppa,2019-02-22 20:34:17.142857140,2019-02-22,2019-02-22,2019-02-22,1.0,-2.04,-425.54,0.0,162.0,           ,1.0,1.0,138.0
74,Ruoka_paivittaistavarakauppa,2019-02-25 23:59:59.999999997,2019-02-25,2019-02-25,2019-02-25,1.0,-5.12,-430.66,0.0,162.0,           ,1.0,1.0,54.0
75,Muut,2019-02-26 03:25:42.857142854,2019-02-26,2019-02-26,2019-02-26,1.0,-19.75,-450.41,0.0,163.0,           ,1.0,1.0,167.0
76,Hyvinvointijakauneus,2019-02-27 06:51:25.714285711,2019-02-27,2019-02-27,2019-02-27,1.0,-9.21,-459.62,0.0,162.0,           ,1.0,1.0,80.0
77,Ruoka_paivittaistavarakauppa,2019-02-27 10:17:08.571428568,2019-02-27,2019-02-27,2019-02-27,1.0,-2.41,-462.03,0.0,162.0,           ,1.0,1.0,58.0
78,Tulot,2019-03-01 02:06:18.947368421,2019-03-01,2019-03-01,2019-03-01,1.0,823.63,361.6,701.0,520.0,           ,1.0,1.0,184.0
79,Luokittelemattomat,2019-03-04 04:12:37.894736842,2019-03-04,2019-03-04,2019-03-04,1.0,-2.94,358.66,0.0,162.0,           ,1.0,1.0,118.0
80,Luokittelemattomat,2019-03-04 06:18:56.842105263,2019-03-04,2019-03-04,2019-03-04,1.0,-55.94,302.72,706.0,106.0,OKOYFIHH   ,1.0,0.0,190.0
81,Ruoka_paivittaistavarakauppa,2019-03-04 10:31:34.736842105,2019-03-04,2019-03-04,2019-03-04,1.0,-23.18,279.54,0.0,162.0,           ,1.0,1.0,111.0
82,Muut,2019-03-05 08:25:15.789473684,2019-03-05,2019-03-05,2019-03-05,1.0,-35.61,243.93,0.0,163.0,           ,1.0,1.0,167.0
83,Ruoka_paivittaistavarakauppa,2019-03-07 12:37:53.684210526,2019-03-07,2019-03-07,2019-03-07,1.0,-42.09,201.84,0.0,162.0,           ,1.0,1.0,81.0
84,Ruoka_paivittaistavarakauppa,2019-03-07 14:44:12.631578947,2019-03-07,2019-03-08,2019-03-07,1.0,-7.26,194.58,0.0,162.0,           ,1.0,1.0,106.0
85,Tulot,2019-03-11 18:56:50.526315789,2019-03-11,2019-03-11,2019-03-11,1.0,-139.34,55.24,0.0,162.0,           ,1.0,1.0,79.0
86,Asuminen,2019-03-11 21:03:09.473684210,2019-03-11,2019-03-11,2019-03-11,1.0,-15.9,39.34,0.0,162.0,           ,1.0,1.0,114.0
87,Ruoka_paivittaistavarakauppa,2019-03-12 16:50:31.578947368,2019-03-12,2019-03-12,2019-03-12,1.0,-11.35,27.99,0.0,162.0,           ,1.0,1.0,95.0
88,Lemmikit,2019-03-12 23:09:28.421052631,2019-03-12,2019-03-12,2019-03-12,1.0,-3.64,24.35,0.0,162.0,           ,1.0,1.0,80.0
89,Lemmikit,2019-03-14 01:15:47.368421052,2019-03-14,2019-03-14,2019-03-14,1.0,-8.59,15.76,0.0,106.0,OKOYFIHH   ,1.0,0.0,13.0
90,Tulot,2019-03-15 03:22:06.315789473,2019-03-15,2019-03-15,2019-03-15,1.0,4.51,20.27,710.0,588.0,           ,0.0,1.0,221.0
91,Tulot,2019-03-15 05:28:25.263157894,2019-03-15,2019-03-15,2019-03-15,1.0,48.33,68.6,710.0,588.0,           ,0.0,1.0,221.0
92,Liikkuminen,2019-03-18 07:34:44.210526315,2019-03-18,2019-03-18,2019-03-18,1.0,-90.95,-22.35,0.0,162.0,           ,1.0,1.0,133.0
93,Ravintolat_kahvilat,2019-03-18 09:41:03.157894736,2019-03-18,2019-03-18,2019-03-18,1.0,-26.64,-48.99,0.0,162.0,           ,1.0,1.0,84.0
94,Ruoka_paivittaistavarakauppa,2019-03-19 11:47:22.105263157,2019-03-19,2019-03-19,2019-03-19,1.0,-6.82,-55.81,0.0,162.0,           ,1.0,1.0,110.0
95,Ruoka_paivittaistavarakauppa,2019-03-19 13:53:41.052631578,2019-03-19,2019-03-19,2019-03-19,1.0,-2.14,-57.95,0.0,162.0,           ,1.0,1.0,50.0
96,Hyvinvointijakauneus,2019-03-21 15:59:59.999999999,2019-03-21,2019-03-21,2019-03-21,1.0,-4.02,-61.97,0.0,162.0,           ,1.0,1.0,41.0
97,Muut,2019-03-22 18:06:18.947368420,2019-03-22,2019-03-25,2019-03-22,1.0,-10.33,-72.3,0.0,163.0,           ,1.0,1.0,168.0
98,Vakuutukset,2019-03-22 20:12:37.894736841,2019-03-22,2019-03-22,2019-03-22,1.0,-24.6,-96.9,706.0,106.0,NDEAFIHH   ,0.0,0.0,197.0
99,Muut,2019-03-25 22:18:56.842105262,2019-03-25,2019-03-25,2019-03-25,1.0,-2.73,-99.63,706.0,106.0,NDEAFIHH   ,0.0,0.0,189.0
100,Kulttuuri_viihde,2019-03-26 00:25:15.789473683,2019-03-26,2019-03-26,2019-03-26,1.0,-17.44,-117.07,0.0,162.0,           ,1.0,1.0,80.0
101,Ravintolat_kahvilat,2019-03-27 02:31:34.736842104,2019-03-27,2019-03-27,2019-03-27,1.0,-10.5,-127.57,0.0,162.0,           ,1.0,1.0,85.0
102,Tulot,2019-03-28 04:37:53.684210525,2019-03-28,2019-03-28,2019-03-28,1.0,-22.37,-149.94,0.0,162.0,           ,1.0,1.0,104.0
103,Muut,2019-03-28 06:44:12.631578946,2019-03-28,2019-03-28,2019-03-28,1.0,-0.8,-150.74,0.0,162.0,           ,1.0,1.0,46.0
104,Ruoka_paivittaistavarakauppa,2019-03-29 08:50:31.578947367,2019-03-29,2019-03-29,2019-03-29,1.0,-1.48,-152.22,0.0,162.0,           ,1.0,1.0,100.0
105,Muut,2019-03-31 10:56:50.526315788,2019-03-31,2019-03-31,2019-03-31,1.0,-7.98,-160.2,0.0,163.0,           ,1.0,1.0,167.0
106,Tulot,2019-04-01 13:58:50.097087378,2019-04-01,2019-04-01,2019-04-01,1.0,252.24,92.04,701.0,520.0,           ,1.0,1.0,183.0
107,Liikkuminen,2019-04-02 03:57:40.194174756,2019-04-02,2019-04-02,2019-04-02,1.0,-9.49,82.55,0.0,162.0,           ,1.0,1.0,103.0
108,Ruoka_paivittaistavarakauppa,2019-04-02 17:56:30.291262134,2019-04-02,2019-04-02,2019-04-02,1.0,-3.17,79.38,0.0,162.0,           ,1.0,1.0,95.0
109,Liikkuminen,2019-04-03 07:55:20.388349512,2019-04-03,2019-04-03,2019-04-03,1.0,-39.31,40.07,0.0,162.0,           ,1.0,1.0,112.0
110,Luokittelemattomat,2019-04-03 21:54:10.485436890,2019-04-03,2019-04-03,2019-04-03,1.0,-17.59,22.48,706.0,106.0,OKOYFIHH   ,0.0,0.0,197.0
111,Liikkuminen,2019-04-04 11:53:00.582524268,2019-04-04,2019-04-04,2019-04-04,1.0,-5.87,16.61,0.0,162.0,           ,1.0,1.0,51.0
112,Ruoka_paivittaistavarakauppa,2019-04-05 01:51:50.679611646,2019-04-05,2019-04-05,2019-04-05,1.0,-5.04,11.57,0.0,162.0,           ,1.0,1.0,93.0
113,Ruoka_paivittaistavarakauppa,2019-04-05 05:49:30.873786402,2019-04-05,2019-04-05,2019-04-05,1.0,-3.36,8.21,0.0,162.0,           ,1.0,1.0,130.0
114,Ruoka_paivittaistavarakauppa,2019-04-05 09:47:11.067961158,2019-04-05,2019-04-05,2019-04-05,1.0,-12.62,-4.41,706.0,106.0,NDEAFIHH   ,0.0,0.0,190.0
115,Ruoka_paivittaistavarakauppa,2019-04-05 15:50:40.776699024,2019-04-05,2019-04-05,2019-04-05,1.0,-12.4,-16.81,0.0,162.0,           ,1.0,1.0,109.0
116,Hyvinvointi,2019-04-05 19:48:20.970873780,2019-04-05,2019-04-05,2019-04-05,1.0,-7.7,-24.51,706.0,106.0,NDEAFIHH   ,0.0,0.0,190.0
117,Lemmikit,2019-04-08 13:44:51.262135914,2019-04-08,2019-04-08,2019-04-08,1.0,-29.06,-53.57,0.0,162.0,           ,1.0,1.0,95.0
118,Ravintolat_kahvilat,2019-04-08 21:40:11.650485426,2019-04-08,2019-04-08,2019-04-08,1.0,-2.57,-56.14,0.0,162.0,           ,1.0,1.0,81.0
119,Ruoka_paivittaistavarakauppa,2019-04-08 23:46:01.165048536,2019-04-08,2019-04-09,2019-04-08,1.0,-0.57,-56.71,0.0,162.0,           ,1.0,1.0,94.0
120,Ruoka_paivittaistavarakauppa,2019-04-09 03:43:41.359223292,2019-04-09,2019-04-09,2019-04-09,1.0,-1.19,-57.9,0.0,162.0,           ,1.0,1.0,84.0
121,Ruoka_paivittaistavarakauppa,2019-04-09 17:42:31.456310670,2019-04-09,2019-04-09,2019-04-09,1.0,-4.16,-62.06,0.0,162.0,           ,1.0,1.0,60.0
122,Ruoka_paivittaistavarakauppa,2019-04-10 07:41:21.553398048,2019-04-10,2019-04-10,2019-04-10,1.0,-2.23,-64.29,0.0,162.0,           ,1.0,1.0,50.0
123,Luokittelemattomat,2019-04-11 11:39:01.747572804,2019-04-11,2019-04-11,2019-04-11,1.0,-5.92,-70.21,0.0,162.0,           ,1.0,1.0,79.0
124,Ruoka_paivittaistavarakauppa,2019-04-12 01:37:51.844660182,2019-04-12,2019-04-12,2019-04-12,1.0,-14.16,-84.37,0.0,162.0,           ,1.0,1.0,46.0
125,Liikkuminen,2019-04-12 05:35:32.038834938,2019-04-12,2019-04-12,2019-04-12,1.0,-4.74,-89.11,0.0,162.0,           ,1.0,1.0,111.0
126,Ruoka_paivittaistavarakauppa,2019-04-12 15:36:41.941747560,2019-04-12,2019-04-12,2019-04-12,1.0,-1.26,-90.37,0.0,162.0,           ,1.0,1.0,121.0
127,Liikkuminen,2019-04-15 09:33:12.233009694,2019-04-15,2019-04-15,2019-04-15,1.0,-3.15,-93.52,0.0,162.0,           ,1.0,1.0,94.0
128,Ruoka_paivittaistavarakauppa,2019-04-15 13:30:52.427184450,2019-04-15,2019-04-15,2019-04-15,1.0,-4.31,-97.83,0.0,162.0,           ,1.0,1.0,158.0
129,Liikkuminen,2019-04-15 19:34:22.135922316,2019-04-15,2019-04-15,2019-04-15,1.0,-4.44,-102.27,0.0,162.0,           ,1.0,1.0,100.0
130,Hyvinvointi,2019-04-15 23:32:02.330097072,2019-04-15,2019-04-15,2019-04-15,1.0,-9.95,-112.22,0.0,162.0,           ,1.0,1.0,94.0
131,Ruoka_paivittaistavarakauppa,2019-04-16 03:29:42.524271828,2019-04-16,2019-04-16,2019-04-16,1.0,-8.73,-120.95,0.0,162.0,           ,1.0,1.0,129.0
132,Ruoka_paivittaistavarakauppa,2019-04-16 07:27:22.718446584,2019-04-16,2019-04-16,2019-04-16,1.0,-2.81,-123.76,0.0,162.0,           ,1.0,1.0,98.0
133,Ruoka_paivittaistavarakauppa,2019-04-16 17:28:32.621359206,2019-04-16,2019-04-16,2019-04-16,1.0,-5.79,-129.55,0.0,162.0,           ,1.0,1.0,92.0
134,Matkailu,2019-04-18 11:25:02.912621340,2019-04-18,2019-04-18,2019-04-18,1.0,-2.62,-132.17,0.0,103.0,           ,0.0,1.0,4.0
135,Ruoka_paivittaistavarakauppa,2019-04-18 21:26:12.815533962,2019-04-18,2019-04-18,2019-04-18,1.0,-5.87,-138.04,0.0,162.0,           ,1.0,1.0,87.0
136,Ruoka_paivittaistavarakauppa,2019-04-19 01:23:53.009708718,2019-04-19,2019-04-19,2019-04-19,1.0,-11.98,-150.02,0.0,162.0,           ,1.0,1.0,129.0
137,Ruoka_paivittaistavarakauppa,2019-04-19 05:21:33.203883474,2019-04-19,2019-04-19,2019-04-19,1.0,-2.86,-152.88,0.0,162.0,           ,1.0,1.0,74.0
138,Ruoka_paivittaistavarakauppa,2019-04-19 15:22:43.106796096,2019-04-19,2019-04-19,2019-04-19,1.0,-1.97,-154.85,0.0,162.0,           ,1.0,1.0,65.0
139,Asuminen,2019-04-22 09:19:13.398058230,2019-04-22,2019-04-22,2019-04-22,1.0,-5.24,-160.09,706.0,106.0,DABAFIHH   ,0.0,0.0,195.0
140,Tulot,2019-04-22 13:16:53.592232986,2019-04-22,2019-04-22,2019-04-22,1.0,77.47,-82.62,710.0,588.0,           ,0.0,1.0,223.0
141,Ruoka_paivittaistavarakauppa,2019-04-22 19:20:23.300970852,2019-04-22,2019-04-22,2019-04-22,1.0,-6.18,-88.8,0.0,162.0,           ,1.0,1.0,129.0
142,Ruoka_paivittaistavarakauppa,2019-04-23 03:15:43.689320364,2019-04-23,2019-04-23,2019-04-23,1.0,-6.39,-95.19,0.0,162.0,           ,1.0,1.0,115.0
143,Ruoka_paivittaistavarakauppa,2019-04-23 17:14:33.786407742,2019-04-23,2019-04-23,2019-04-23,1.0,-6.04,-101.23,0.0,162.0,           ,1.0,1.0,127.0
144,Matkailu,2019-04-23 23:18:03.495145608,2019-04-23,2019-04-23,2019-04-23,1.0,-10.5,-111.73,0.0,162.0,           ,1.0,1.0,137.0
145,Ruoka_paivittaistavarakauppa,2019-04-24 07:13:23.883495120,2019-04-24,2019-04-24,2019-04-24,1.0,-4.63,-116.36,0.0,162.0,           ,1.0,1.0,95.0
146,Kulttuuri_viihde,2019-04-24 11:11:04.077669876,2019-04-24,2019-04-24,2019-04-24,1.0,-6.09,-122.45,0.0,106.0,OKOYFIHH   ,0.0,0.0,8.0
147,Ruoka_paivittaistavarakauppa,2019-04-25 15:08:44.271844632,2019-04-25,2019-04-25,2019-04-25,1.0,-4.64,-127.09,0.0,162.0,           ,1.0,1.0,111.0
148,Tulot,2019-04-25 21:12:13.980582498,2019-04-25,2019-04-25,2019-04-25,1.0,547.69,420.6,701.0,506.0,           ,1.0,1.0,180.0
149,Ruoka_paivittaistavarakauppa,2019-04-26 01:09:54.174757254,2019-04-26,2019-04-26,2019-04-26,1.0,-16.43,404.17,0.0,162.0,           ,1.0,1.0,113.0
150,Ravintolat_kahvilat,2019-04-26 05:07:34.368932010,2019-04-26,2019-04-26,2019-04-26,1.0,-42.41,361.76,0.0,162.0,           ,1.0,1.0,113.0
151,Ruoka_paivittaistavarakauppa,2019-04-26 19:06:24.466019388,2019-04-26,2019-04-26,2019-04-26,1.0,-30.85,330.91,0.0,162.0,           ,1.0,1.0,139.0
152,Liikkuminen,2019-04-26 23:04:04.660194144,2019-04-26,2019-04-26,2019-04-26,1.0,-4.17,326.74,0.0,162.0,           ,1.0,1.0,153.0
153,Harrastukset,2019-04-29 09:05:14.563106766,2019-04-29,2019-04-29,2019-04-29,1.0,-5.18,321.56,0.0,162.0,           ,1.0,1.0,166.0
